ncesid,state_id,District,ADM,ADM_persqmile,stpov_count,stpov_rate,ELL_count,ELL_rate,sr_BEP,srpp_BEP,lr_BEP,lrpp_BEP,slr_BEP,slrpp_BEP,lr,lrpp,lr_pct,sr,srpp,sr_pct,slr,slrpp,perpupil_transp,total_transport_aid,transp_cost_perpupil
4701590,330,Hamilton County,43857.765349999994,560.5399318780194,15791,0.36005026416604696,3331,0.07595006205668435,170029000,3876.827709827674,264304000,6026.39003357247,434333000,9903.217743400144,248861485,5624.24256463569,0.5234667286986955,175861818,3974.458009401555,0.36991586131323356,424723303,9598.700574037244,43357.93293833333,14417998.571716089,332.5342698468206
4701620,340,Hancock County,954.4246824999998,208.70865569647927,495,0.518637048136064,2,0.002095503224792178,7353000,7704.117605948441,2019000,2115.4105054277034,9372000,9819.528111376145,2429580,2646.6013071895427,0.19191107436173008,8535568,9298.004357298474,0.6742194227675581,10965148,11944.605664488017,972.3382541666666,503176.25935372384,517.4909628388182
4701650,350,Hardeman County,3328.7254049999997,630.7988260375213,1442,0.43319884476923387,22,0.006609136327963346,20848000,6263.057916608174,10052000,3019.7744713039797,30900000,9282.832387912154,9017865,2740.159525979945,0.24349533305775664,23099660,7019.039805530234,0.6237240638688801,32117525,9759.199331510179,3524.2716516666665,1516215.5652294029,430.2209690653012
4701680,360,Hardin County,3415.2326149999994,570.1556953255424,1476,0.43218139622972657,8,0.0023424465920310385,16358000,4789.717669055466,15027000,4399.993117306301,31385000,9189.710786361768,14735153.43,4331.32082010582,0.39119154766748787,18038781.6,5302.404938271606,0.4788968724121255,32773935.03,9633.725758377426,3434.6607091666665,1358449.089872993,395.51187290420495
4701740,370,Hawkins County,6424.84693,482.20106049234465,2668,0.41526281156086625,22,0.0034242060923309814,37653000,5860.528727024474,20011000,3114.6267324379664,57664000,8975.155459462441,18573510.589999996,2904.380076622361,0.27771535859864993,41094360,6426.014073494918,0.6144522258450452,59667870.589999996,9330.39415011728,7354.4002108333325,3118238.466526092,423.9962984245539
4701770,380,Haywood County,2703.5728299999996,492.813129784907,1201,0.444226982411271,73,0.027001307007512725,16758000,6198.46442235477,7251000,2682.006535773627,24009000,8880.470958128397,6676095,2539.40471662229,0.2265683441015115,18091542,6881.529859262077,0.6139772895956315,24767637,9420.934575884366,2818.1599141666666,1251445.5356882957,444.064770560882
4701800,390,Henderson County,3821.1162499999996,492.4753512050521,1448,0.3789468587876645,8,0.0020936290540754946,23074000,6038.5495992172455,10131000,2651.3194933548543,33205000,8689.8690925721,7840940.5,2040.3175904241477,0.20704389701386777,24952824,6493.058548009368,0.6588916115944469,32793764.5,8533.376138433516,3859.3412241666665,1697294.6763074182,439.7887042687988
4701830,400,Henry County,2923.3166125,543.3674000929368,1114,0.38107401546468656,22,0.0075256986896078135,16219000,5548.150320306779,12487000,4271.518160778762,28706000,9819.66848108554,10833896.429999998,3676.245819477434,0.3212810573273848,18566065.099999998,6299.9881574482515,0.550579845790261,29399961.529999994,9976.233976925685,2935.0036024999995,1366884.3385728353,465.71811271663864
4701860,410,Hickman County,3266.4849999999997,590.7912823295351,1069,0.32726309779472434,28,0.00857190527432393,22360000,6845.278640495824,6588000,2016.8468552587876,28948000,8862.125495754612,5664440.93,1723.2859537572253,0.16666335199926632,23890019.590000004,7268.031515059326,0.7029097475640087,29554460.520000003,8991.31746881655,3311.5364525000005,1343436.2761592404,405.6836744602437
4701890,092,Hollow Rock-Bruceton Special School District,630.524125,88.85627466178128,303,0.4805525878966169,0,0,4062000,6442.259445663558,1558000,2470.960171428809,5620000,8913.219617092367,1180537.91,1910.2555177993527,0.18646556622851443,4326507,7000.820388349514,0.6833703269610641,5507044.91,8911.075906148868,NA,NA,NA
